dataset,model,test_score,classes,transf_metric,transf_score
sun397,densenet121,0.4628715365239294,397,mid_overall_+I_scorer,0.03039868569644183
sun397,densenet161,0.4787405541561713,397,mid_overall_+I_scorer,0.3589280467003495
sun397,densenet169,0.4565743073047859,397,mid_overall_+I_scorer,0.17206482287490124
sun397,efficientnet_b0,0.413904282115869,397,mid_overall_+I_scorer,0.4262376864918289
sun397,mobilenetv2_050,0.1872040302267002,397,mid_overall_+I_scorer,-1.0003864839622651
sun397,mobilenetv2_100,0.420705289672544,397,mid_overall_+I_scorer,-0.14674473454900766
sun397,resnet18,0.3871032745591939,397,mid_overall_+I_scorer,-0.5377238335543971
sun397,resnet34,0.3630226700251888,397,mid_overall_+I_scorer,-0.1056785644235201
sun397,resnet50,0.4092695214105793,397,mid_overall_+I_scorer,0.23645852159238312
sun397,vit_small_patch16_224,0.6689672544080606,397,mid_overall_+I_scorer,0.5664458531332904
sun397,densenet121,0.4628715365239294,397,mid_per_scorer_+I_scorer,0.023388015600030274
sun397,densenet161,0.4787405541561713,397,mid_per_scorer_+I_scorer,0.19717353931070056
sun397,densenet169,0.4565743073047859,397,mid_per_scorer_+I_scorer,0.09697622535962075
sun397,efficientnet_b0,0.413904282115869,397,mid_per_scorer_+I_scorer,0.16318771509837837
sun397,mobilenetv2_050,0.1872040302267002,397,mid_per_scorer_+I_scorer,-0.8040377263707262
sun397,mobilenetv2_100,0.420705289672544,397,mid_per_scorer_+I_scorer,-0.15052790594635013
sun397,resnet18,0.3871032745591939,397,mid_per_scorer_+I_scorer,-0.41518857260123887
sun397,resnet34,0.3630226700251888,397,mid_per_scorer_+I_scorer,-0.09989548847523848
sun397,resnet50,0.4092695214105793,397,mid_per_scorer_+I_scorer,0.3370370090706911
sun397,vit_small_patch16_224,0.6689672544080606,397,mid_per_scorer_+I_scorer,0.6518871889541403
sun397,densenet121,0.4628715365239294,397,mid_per_scorer_dataset_+I_scorer,0.023388015600030124
sun397,densenet161,0.4787405541561713,397,mid_per_scorer_dataset_+I_scorer,0.19717353931070047
sun397,densenet169,0.4565743073047859,397,mid_per_scorer_dataset_+I_scorer,0.09697622535962068
sun397,efficientnet_b0,0.413904282115869,397,mid_per_scorer_dataset_+I_scorer,0.16318771509837837
sun397,mobilenetv2_050,0.1872040302267002,397,mid_per_scorer_dataset_+I_scorer,-0.8040377263707266
sun397,mobilenetv2_100,0.420705289672544,397,mid_per_scorer_dataset_+I_scorer,-0.1505279059463503
sun397,resnet18,0.3871032745591939,397,mid_per_scorer_dataset_+I_scorer,-0.415188572601239
sun397,resnet34,0.3630226700251888,397,mid_per_scorer_dataset_+I_scorer,-0.09989548847523863
sun397,resnet50,0.4092695214105793,397,mid_per_scorer_dataset_+I_scorer,0.337037009070691
sun397,vit_small_patch16_224,0.6689672544080606,397,mid_per_scorer_dataset_+I_scorer,0.6518871889541406
sun397,densenet121,0.4628715365239294,397,mid_svm_+I_scorer,0.13728738875496616
sun397,densenet161,0.4787405541561713,397,mid_svm_+I_scorer,0.22437359866280698
sun397,densenet169,0.4565743073047859,397,mid_svm_+I_scorer,0.19945965582146788
sun397,efficientnet_b0,0.413904282115869,397,mid_svm_+I_scorer,0.14710073044767358
sun397,mobilenetv2_050,0.1872040302267002,397,mid_svm_+I_scorer,0.04827041755380272
sun397,mobilenetv2_100,0.420705289672544,397,mid_svm_+I_scorer,0.08719905588171815
sun397,resnet18,0.3871032745591939,397,mid_svm_+I_scorer,0.02383605640725471
