dataset,model,test_score,classes,transf_metric,transf_score
sun397,densenet121,0.4972795969773301,397,bot_overall_+I_scorer,0.0204173079441356
sun397,densenet161,0.5144584382871537,397,bot_overall_+I_scorer,0.24107438500626444
sun397,densenet169,0.5147103274559194,397,bot_overall_+I_scorer,0.11556751203231638
sun397,efficientnet_b0,0.5225188916876574,397,bot_overall_+I_scorer,0.2862829725404421
sun397,mobilenetv2_050,0.4110327455919396,397,bot_overall_+I_scorer,-0.6719105921280148
sun397,mobilenetv2_100,0.5004030226700252,397,bot_overall_+I_scorer,-0.09856124914039938
sun397,resnet18,0.4750125944584382,397,bot_overall_+I_scorer,-0.3611627557920005
sun397,resnet34,0.4847355163727961,397,bot_overall_+I_scorer,-0.07097911450763386
sun397,resnet50,0.5622166246851386,397,bot_overall_+I_scorer,0.1588176047996715
sun397,vit_small_patch16_224,0.666095717884131,397,bot_overall_+I_scorer,0.3804539292452122
sun397,densenet121,0.4972795969773301,397,bot_per_scorer_+I_scorer,0.012141391876445445
sun397,densenet161,0.5144584382871537,397,bot_per_scorer_+I_scorer,0.19895212198040058
sun397,densenet169,0.5147103274559194,397,bot_per_scorer_+I_scorer,0.25017464399744727
sun397,efficientnet_b0,0.5225188916876574,397,bot_per_scorer_+I_scorer,0.2546774376652976
sun397,mobilenetv2_050,0.4110327455919396,397,bot_per_scorer_+I_scorer,-0.6535200324454786
sun397,mobilenetv2_100,0.5004030226700252,397,bot_per_scorer_+I_scorer,-0.004165114301760239
sun397,resnet18,0.4750125944584382,397,bot_per_scorer_+I_scorer,-0.34726357323976725
sun397,resnet34,0.4847355163727961,397,bot_per_scorer_+I_scorer,-0.1685491489254357
sun397,resnet50,0.5622166246851386,397,bot_per_scorer_+I_scorer,0.18928745410010028
sun397,vit_small_patch16_224,0.666095717884131,397,bot_per_scorer_+I_scorer,0.26826481929274015
sun397,densenet121,0.4972795969773301,397,bot_per_scorer_dataset_+I_scorer,0.012141391876445324
sun397,densenet161,0.5144584382871537,397,bot_per_scorer_dataset_+I_scorer,0.19895212198040055
sun397,densenet169,0.5147103274559194,397,bot_per_scorer_dataset_+I_scorer,0.2501746439974471
sun397,efficientnet_b0,0.5225188916876574,397,bot_per_scorer_dataset_+I_scorer,0.2546774376652975
sun397,mobilenetv2_050,0.4110327455919396,397,bot_per_scorer_dataset_+I_scorer,-0.653520032445479
sun397,mobilenetv2_100,0.5004030226700252,397,bot_per_scorer_dataset_+I_scorer,-0.004165114301760415
sun397,resnet18,0.4750125944584382,397,bot_per_scorer_dataset_+I_scorer,-0.3472635732397675
sun397,resnet34,0.4847355163727961,397,bot_per_scorer_dataset_+I_scorer,-0.16854914892543582
sun397,resnet50,0.5622166246851386,397,bot_per_scorer_dataset_+I_scorer,0.18928745410010017
sun397,vit_small_patch16_224,0.666095717884131,397,bot_per_scorer_dataset_+I_scorer,0.26826481929274004
sun397,densenet121,0.4972795969773301,397,bot_svm_+I_scorer,0.1573052307040148
sun397,densenet161,0.5144584382871537,397,bot_svm_+I_scorer,0.22227650076710842
sun397,densenet169,0.5147103274559194,397,bot_svm_+I_scorer,0.19648690969996885
sun397,efficientnet_b0,0.5225188916876574,397,bot_svm_+I_scorer,0.19493108534482861
sun397,mobilenetv2_050,0.4110327455919396,397,bot_svm_+I_scorer,0.008558217101405516
sun397,mobilenetv2_100,0.5004030226700252,397,bot_svm_+I_scorer,0.132458707961167
sun397,resnet18,0.4750125944584382,397,bot_svm_+I_scorer,0.01045926731869197
sun397,resnet34,0.4847355163727961,397,bot_svm_+I_scorer,0.06563697359363162
sun397,resnet50,0.5622166246851386,397,bot_svm_+I_scorer,0.10606370693737989
sun397,vit_small_patch16_224,0.666095717884131,397,bot_svm_+I_scorer,0.22524466735506182
sun397,densenet121,0.4972795969773301,397,bot_lsq_+I_scorer,0.07544021069198005
sun397,densenet161,0.5144584382871537,397,bot_lsq_+I_scorer,0.7947471892222001
sun397,densenet169,0.5147103274559194,397,bot_lsq_+I_scorer,0.6813944939769284
sun397,efficientnet_b0,0.5225188916876574,397,bot_lsq_+I_scorer,0.5620676281267138
sun397,mobilenetv2_050,0.4110327455919396,397,bot_lsq_+I_scorer,-1.9767547983116918
sun397,mobilenetv2_100,0.5004030226700252,397,bot_lsq_+I_scorer,-0.2731647749422436
sun397,resnet18,0.4750125944584382,397,bot_lsq_+I_scorer,-0.570696387416249
sun397,resnet34,0.4847355163727961,397,bot_lsq_+I_scorer,-0.0022000372117241974
sun397,resnet50,0.5622166246851386,397,bot_lsq_+I_scorer,-0.36007254679545286
sun397,vit_small_patch16_224,0.666095717884131,397,bot_lsq_+I_scorer,1.069239022659528
aircraft,densenet121,0.4713725490196079,100,bot_overall_+I_scorer,0.02223052240925617
aircraft,densenet161,0.5639750445632798,100,bot_overall_+I_scorer,0.2624836502854784
aircraft,densenet169,0.5251693404634581,100,bot_overall_+I_scorer,0.12583079870499345
