dataset,model,test_score,classes,transf_metric,transf_score
sun397,densenet121,0.4972795969773301,397,mid_overall_+I_scorer,0.03133582087519954
sun397,densenet161,0.5144584382871537,397,mid_overall_+I_scorer,0.3699931336111748
sun397,densenet169,0.5147103274559194,397,mid_overall_+I_scorer,0.1773692626836851
sun397,efficientnet_b0,0.5225188916876574,397,mid_overall_+I_scorer,0.43937780493355855
sun397,mobilenetv2_050,0.4110327455919396,397,mid_overall_+I_scorer,-1.0312265464517252
sun397,mobilenetv2_100,0.5004030226700252,397,mid_overall_+I_scorer,-0.15126860292992247
sun397,resnet18,0.4750125944584382,397,mid_overall_+I_scorer,-0.5543008634270995
sun397,resnet34,0.4847355163727961,397,mid_overall_+I_scorer,-0.10893643883792649
sun397,resnet50,0.5622166246851386,397,mid_overall_+I_scorer,0.2437480998693607
sun397,vit_small_patch16_224,0.666095717884131,397,mid_overall_+I_scorer,0.5839083296736909
sun397,densenet121,0.4972795969773301,397,mid_per_scorer_+I_scorer,0.013492113620982283
sun397,densenet161,0.5144584382871537,397,mid_per_scorer_+I_scorer,0.21472779145490564
sun397,densenet169,0.5147103274559194,397,mid_per_scorer_+I_scorer,0.11032779713424443
sun397,efficientnet_b0,0.5225188916876574,397,mid_per_scorer_+I_scorer,0.1709007211547708
sun397,mobilenetv2_050,0.4110327455919396,397,mid_per_scorer_+I_scorer,-0.8386151133986508
sun397,mobilenetv2_100,0.5004030226700252,397,mid_per_scorer_+I_scorer,-0.1656437140506687
sun397,resnet18,0.4750125944584382,397,mid_per_scorer_+I_scorer,-0.41997502833410183
sun397,resnet34,0.4847355163727961,397,mid_per_scorer_+I_scorer,-0.10647092665370661
sun397,resnet50,0.5622166246851386,397,mid_per_scorer_+I_scorer,0.33986099988246365
sun397,vit_small_patch16_224,0.666095717884131,397,mid_per_scorer_+I_scorer,0.681395359189758
sun397,densenet121,0.4972795969773301,397,mid_per_scorer_dataset_+I_scorer,0.013492113620982345
sun397,densenet161,0.5144584382871537,397,mid_per_scorer_dataset_+I_scorer,0.2147277914549059
sun397,densenet169,0.5147103274559194,397,mid_per_scorer_dataset_+I_scorer,0.11032779713424452
sun397,efficientnet_b0,0.5225188916876574,397,mid_per_scorer_dataset_+I_scorer,0.17090072115477092
sun397,mobilenetv2_050,0.4110327455919396,397,mid_per_scorer_dataset_+I_scorer,-0.838615113398651
sun397,mobilenetv2_100,0.5004030226700252,397,mid_per_scorer_dataset_+I_scorer,-0.16564371405066863
sun397,resnet18,0.4750125944584382,397,mid_per_scorer_dataset_+I_scorer,-0.41997502833410216
sun397,resnet34,0.4847355163727961,397,mid_per_scorer_dataset_+I_scorer,-0.10647092665370658
sun397,resnet50,0.5622166246851386,397,mid_per_scorer_dataset_+I_scorer,0.3398609998824639
sun397,vit_small_patch16_224,0.666095717884131,397,mid_per_scorer_dataset_+I_scorer,0.681395359189758
sun397,densenet121,0.4972795969773301,397,mid_svm_+I_scorer,0.13084557993902363
sun397,densenet161,0.5144584382871537,397,mid_svm_+I_scorer,0.25719887581374545
sun397,densenet169,0.5147103274559194,397,mid_svm_+I_scorer,0.2210548762910648
sun397,efficientnet_b0,0.5225188916876574,397,mid_svm_+I_scorer,0.18203374291017688
sun397,mobilenetv2_050,0.4110327455919396,397,mid_svm_+I_scorer,0.07998249143150174
sun397,mobilenetv2_100,0.5004030226700252,397,mid_svm_+I_scorer,0.06339955161498564
sun397,resnet18,0.4750125944584382,397,mid_svm_+I_scorer,0.026489291854693287
sun397,resnet34,0.4847355163727961,397,mid_svm_+I_scorer,0.06650280383278828
sun397,resnet50,0.5622166246851386,397,mid_svm_+I_scorer,0.20663519071613906
sun397,vit_small_patch16_224,0.666095717884131,397,mid_svm_+I_scorer,0.18969443414166778
sun397,densenet121,0.4972795969773301,397,mid_lsq_+I_scorer,0.027517565611662402
sun397,densenet161,0.5144584382871537,397,mid_lsq_+I_scorer,0.8174489039770324
sun397,densenet169,0.5147103274559194,397,mid_lsq_+I_scorer,0.49248645774776906
