dataset,model,test_score,classes,transf_metric,transf_score
sun397,densenet121,0.4972795969773301,397,imagenet,74.434
sun397,densenet161,0.5144584382871537,397,imagenet,77.138
sun397,densenet169,0.5147103274559194,397,imagenet,75.6
sun397,efficientnet_b0,0.5225188916876574,397,imagenet,77.692
sun397,mobilenetv2_050,0.4110327455919396,397,imagenet,65.95
sun397,mobilenetv2_100,0.5004030226700252,397,imagenet,72.976
sun397,resnet18,0.4750125944584382,397,imagenet,69.758
sun397,resnet34,0.4847355163727961,397,imagenet,73.314
sun397,resnet50,0.5622166246851386,397,imagenet,76.13
sun397,vit_small_patch16_224,0.666095717884131,397,imagenet,78.846
sun397,densenet121,0.4972795969773301,397,hscore_score,82.76918761103136
sun397,densenet161,0.5144584382871537,397,hscore_score,88.36998735430004
sun397,densenet169,0.5147103274559194,397,hscore_score,102.88572662339564
sun397,efficientnet_b0,0.5225188916876574,397,hscore_score,99.54713683812986
sun397,mobilenetv2_050,0.4110327455919396,397,hscore_score,77.18552912163929
sun397,mobilenetv2_100,0.5004030226700252,397,hscore_score,88.55830433314188
sun397,resnet18,0.4750125944584382,397,hscore_score,49.692265375863606
sun397,resnet34,0.4847355163727961,397,hscore_score,60.03014670816068
sun397,resnet50,0.5622166246851386,397,hscore_score,137.6324762167876
sun397,vit_small_patch16_224,0.666095717884131,397,hscore_score,79.08068756759167
sun397,densenet121,0.4972795969773301,397,nce_score,-2.767187046861433
sun397,densenet161,0.5144584382871537,397,nce_score,-2.7560679109906783
sun397,densenet169,0.5147103274559194,397,nce_score,-2.7617658736271866
sun397,efficientnet_b0,0.5225188916876574,397,nce_score,-2.7272056761034396
sun397,mobilenetv2_050,0.4110327455919396,397,nce_score,-2.933504262193707
sun397,mobilenetv2_100,0.5004030226700252,397,nce_score,-2.8267948162421836
sun397,resnet18,0.4750125944584382,397,nce_score,-2.8580508589428666
sun397,resnet34,0.4847355163727961,397,nce_score,-2.776722685180723
sun397,resnet50,0.5622166246851386,397,nce_score,-2.7246779055110215
sun397,vit_small_patch16_224,0.666095717884131,397,nce_score,-2.488168209740561
sun397,densenet121,0.4972795969773301,397,leep_score,-3.4780741273044433
sun397,densenet161,0.5144584382871537,397,leep_score,-3.0295217169829463
sun397,densenet169,0.5147103274559194,397,leep_score,-3.0709193562465456
sun397,efficientnet_b0,0.5225188916876574,397,leep_score,-3.308699727952831
sun397,mobilenetv2_050,0.4110327455919396,397,leep_score,-3.896239728935533
sun397,mobilenetv2_100,0.5004030226700252,397,leep_score,-3.557805078463383
sun397,resnet18,0.4750125944584382,397,leep_score,-3.347713121296689
sun397,resnet34,0.4847355163727961,397,leep_score,-3.4446092070939014
sun397,resnet50,0.5622166246851386,397,leep_score,-2.9759154010026703
sun397,vit_small_patch16_224,0.666095717884131,397,leep_score,-2.799840449023536
sun397,densenet121,0.4972795969773301,397,nleep_score,-1.3676384734917777
sun397,densenet161,0.5144584382871537,397,nleep_score,-1.3901041469479924
sun397,densenet169,0.5147103274559194,397,nleep_score,-1.411804878289989
sun397,efficientnet_b0,0.5225188916876574,397,nleep_score,-1.3257817496549478
sun397,mobilenetv2_050,0.4110327455919396,397,nleep_score,-1.65101679621431
sun397,mobilenetv2_100,0.5004030226700252,397,nleep_score,-1.4309969858876328
sun397,resnet18,0.4750125944584382,397,nleep_score,-1.5328267605863848
sun397,resnet34,0.4847355163727961,397,nleep_score,-1.3923567609036045
sun397,resnet50,0.5622166246851386,397,nleep_score,-1.2759609115713069
sun397,vit_small_patch16_224,0.666095717884131,397,nleep_score,-0.8278176844564604
sun397,densenet121,0.4972795969773301,397,parc_score,7.1139792290513215
sun397,densenet161,0.5144584382871537,397,parc_score,7.046500727448539
sun397,densenet169,0.5147103274559194,397,parc_score,7.064845237048203
sun397,efficientnet_b0,0.5225188916876574,397,parc_score,7.236230009030102
sun397,mobilenetv2_050,0.4110327455919396,397,parc_score,6.264070894224232
sun397,mobilenetv2_100,0.5004030226700252,397,parc_score,6.933843094494915
sun397,resnet18,0.4750125944584382,397,parc_score,6.7012655288665
sun397,resnet34,0.4847355163727961,397,parc_score,7.1194469786983845
sun397,resnet50,0.5622166246851386,397,parc_score,7.331863141227576
sun397,vit_small_patch16_224,0.666095717884131,397,parc_score,7.887267970607377
sun397,densenet121,0.4972795969773301,397,reg_hscore_score,79.21137259876511
sun397,densenet161,0.5144584382871537,397,reg_hscore_score,72.85189551976782
sun397,densenet169,0.5147103274559194,397,reg_hscore_score,69.3100554819435
